OI;CHNG IN OI;VOLUME;IV;LTP;CHNG;BID QTY;BID;ASK;ASK QTY;STRIKE;BID QTY;BID;ASK;ASK QTY;CHNG;LTP;IV;VOLUME;CHNG IN OI;OI
3;-;-;-;7242.1;-;900;7426.75;7616.65;750;36500;6375;1.35;1.5;2725;-0.85;1.5;124.74;167175;3516;34013
16;-;-;-;6586.4;3.75;775;6933.2;7050.55;550;37000;5125;1.35;1.4;500;-1;1.35;115.33;69080;-1444;5496
4;-;-;-;6415.15;4.25;300;6433.55;6613.35;750;37500;175;1.45;1.8;600;-0.75;1.8;110.14;33670;-398;1581
7;-;-;-;5738.1;-;300;5928;6112.5;750;38000;325;1.7;1.9;500;-1.2;1.7;101.3;40211;241;5980
4;-;-;-;5025.35;-;300;5431.65;5616.1;750;38500;2725;1.55;1.8;900;-1.75;1.55;92.3;32387;-389;6836
38;-;-;-;4551.7;-;125;4984.85;5034.75;25;39000;1000;2;2.4;525;-1.4;2.4;88.05;51901;1131;11724
42;-;-;-;4055.05;-;925;4434.45;4543.85;700;39500;450;2.2;2.6;900;-1.95;2.2;79;50507;-3743;6966
1;-;-;-;3991.65;-;900;4332.25;4554.1;750;39600;175;2.05;5.8;500;-2.15;2.05;76.78;4942;-393;402
-;-;-;-;-;-;900;4236.25;4502.4;750;39700;800;1.65;4;800;-0.3;4;80.91;7754;334;763
-;-;-;-;-;-;900;4132.2;4389.45;750;39800;2175;1.5;4.5;25;-3;1.5;71.19;7487;-275;459
-;-;2;133.34;4262.3;1685.3;900;4037.45;4245.35;750;39900;2375;1.65;3.8;1500;-0.85;3.8;76.97;14095;-280;588
124;-2;7;-;3993.85;66.55;25;4017.7;4031.2;75;40000;3550;2.35;2.7;17450;-2.4;2.35;71.27;190317;-4719;49890
4;-;2;-;3877.1;162.75;900;3836.3;4016.25;750;40100;300;2.1;2.6;300;-2.15;2.55;70.25;7997;-260;697
-;-;-;-;-;-;750;3730.6;3917.95;750;40200;1700;1.9;2.65;150;-3;1.9;66.44;6359;-32;1329
12;-;-;-;3440;-;900;3636.5;3852.9;750;40300;500;2.2;2.8;100;-2.75;2.25;66;8865;-570;1102
-;-;-;-;-;-;750;3533.45;3802.1;750;40400;800;1.8;2;1375;-3.15;2;63.54;7373;-818;1081
49;-7;11;61.06;3561.95;116.95;300;3465;3615.85;750;40500;25;2.3;2.8;375;-2.4;2.8;64.27;168230;-8813;30405
-;-;-;-;-;-;750;3212.3;3737.8;750;40600;-;-;3.5;50;-2.9;2.25;61.07;9825;-1124;1624
1;-;-;-;2860;-;900;3241.7;3420;750;40700;900;1.75;3.3;250;-3.75;1.6;57.28;8899;-756;773
1;-;-;-;2610;-;900;3140.7;3318.55;750;40800;900;2.25;2.8;25;-3.1;2.45;58.34;15748;-1091;1545
1;-;-;-;2658.85;-;900;3041.45;3220.95;750;40900;300;2.3;5.9;250;-3.3;2.3;56.28;28778;-2201;2305
440;-94;131;-;3036.95;103.15;750;2940.5;3039.15;125;41000;1300;2.8;2.9;700;-3;2.9;56.11;500391;-27920;70909
3;-;-;-;2123.6;-;750;2839.6;3015;750;41100;1925;2.55;5.25;150;-3.25;2.55;53.61;27354;-1843;2100
10;-1;1;84.85;2914.35;464.35;25;2796.35;2868.5;300;41200;250;2.65;3.8;50;-3.25;2.65;52.18;41212;-1279;7116
22;-;5;58.55;2768.6;443.15;500;2644.95;2765.85;900;41300;150;3.1;3.6;200;-3.1;3.1;51.46;30085;-639;3412
5;-;-;-;2200.95;-;750;2539.1;2714;750;41400;225;2.85;5.85;250;-3.55;2.85;49.26;43353;-3429;3892
772;-49;72;-;2553.3;122.4;125;2518.2;2532.9;275;41500;25;3.65;3.9;100;-3.25;3.65;49.05;453437;-35797;55139
30;-39;41;-;2456;116;100;2359.55;2466.15;100;41600;500;3.2;5;50;-2.75;4.2;48.18;51003;-4006;3527
30;-;2;-;2300;117.9;125;2296.55;2365.05;25;41700;250;3.4;4.8;100;-3.85;3.4;45.17;47007;-2805;4746
23;-;-;-;2132;-;100;2214.8;2235.05;25;41800;25;4.05;4.85;1400;-3.55;3.95;44.3;75828;-2336;8968
19;-;-;-;1987.4;-;25;2120.65;2135.1;25;41900;525;3.7;4.85;300;-3.9;3.8;42.32;70294;-145;8283
1776;-944;1510;-;2038;102.9;25;2025;2038.75;200;42000;475;4.5;4.8;1000;-3.7;4.5;41.51;719295;-5497;88747
207;-52;61;-;1930;95;75;1908.3;2019.2;750;42100;450;4.3;5.5;250;-4.25;4.35;39.53;93376;-1114;9077
214;-3;11;-;1856.15;116.75;250;1814.15;1858;1350;42200;250;4.35;5.9;75;-4.6;4.45;37.87;121188;-684;16406
364;-192;350;-;1745;102.2;300;1701.55;1739.25;75;42300;100;4.35;5.5;25;-4.25;5.5;37.19;182658;-136;19617
348;-8;26;-;1647.5;105.65;75;1599.55;1720.15;750;42400;550;5.55;6.8;350;-3.6;6.95;36.63;168013;-7131;12735
1039;-279;845;-;1537.55;101;25;1531;1537.95;250;42500;825;6.1;6.55;100;-5.5;6.1;34.02;764840;5675;82863
344;-71;246;-;1435.8;90.05;25;1425.85;1436.05;25;42600;475;6.5;7.15;600;-5.95;6.55;32.5;233915;-7607;22143
743;-156;259;-;1341.3;94.35;25;1323.75;1337.25;50;42700;50;6.05;7.95;500;-7.9;6.05;30.2;261066;-8195;21140
1661;-116;572;-;1235.85;88.25;25;1232;1236.85;100;42800;75;7.3;7.65;300;-8.15;7.65;29.41;348341;2745;33536
1238;-286;813;-;1140.85;94;250;1125.9;1138.05;25;42900;25;8.6;9.5;25;-10.2;8.6;28;310819;-13910;23046
13793;-1713;14259;-;1038.15;86.65;125;1033.75;1039.45;125;43000;100;9.9;10.2;50;-12.15;10.25;26.84;887071;30452;123503
1907;-350;2227;-;943.15;89.1;250;925.5;942.7;250;43100;25;11.3;11.4;25;-15.3;11.4;25.27;373010;-9271;29686
4012;-1648;7633;-;838.25;84.7;25;832.5;842.4;25;43200;400;11;13.6;300;-21.65;11;22.95;535733;-5539;48248
4760;-3785;16108;-;741.2;69.75;150;740;744.75;25;43300;1075;15;16.4;250;-24.1;16.45;22.72;661312;-11083;48784
5751;-6728;43715;-;644.55;65.35;25;640.85;645;900;43400;25;18.3;19.75;25;-31.05;20.2;21.44;718146;-4639;61408
20102;-11351;248266;-;550.4;57.35;25;550.4;554.65;25;43500;250;25.6;26.2;75;-38.65;26.2;20.4;1442492;11580;124682
9439;-9017;253811;-;456.4;46.5;75;456.4;460;850;43600;2050;33;35.75;175;-49.25;33;19.1;1113920;-1210;67258
16735;-19433;534320;12.4;374.95;41.7;125;372.8;375;1200;43700;25;46.85;48;75;-60.25;45.5;18.31;1384771;-5248;84435
29283;-17000;1281903;13.36;294.85;31.1;1200;290;294.85;325;43800;25;66;68.9;150;-70.6;66;17.95;1810616;5902;80710
36828;-19649;1754815;13.4;220.05;17.65;75;218;220.05;225;43900;175;93;98;50;-79.15;95.5;17.82;2380354;75;80323
139334;14641;5753438;13.94;161;10.1;3600;160;161;575;44000;250;133.35;136.25;25;-88.6;133.3;17.63;5410536;36285;120500
89105;34437;3945532;14.29;113;3.4;2525;110;112.45;50;44100;375;185.9;187;25;-94.4;186;18.02;3522129;30209;46256
95109;40437;3125245;14.32;73.95;-1.7;50;71.25;73.95;600;44200;100;247;249;125;-100.1;247;18.3;1951046;14841;25292
66157;24560;1961941;14.26;45.2;-6.7;575;45.1;47;25;44300;350;320;324.95;75;-101.95;322;19.26;1017601;3982;11652
65783;22390;1520062;14.95;30;-4.8;450;28;30;2800;44400;25;400.1;404;625;-101.2;404;20.37;409704;1334;4330
101395;28781;1955221;15.41;18.9;-4.95;175;17.2;18.9;150;44500;25;489.85;490.9;325;-104.3;490.9;21.56;462493;2649;6972
72510;41324;856048;15.8;11.5;-4.95;725;10.5;11.5;800;44600;25;581.25;588.15;25;-106.2;583.05;23.13;61494;983;3057
58398;32119;729179;16.41;7.4;-4.45;25;7;7.55;250;44700;25;679;684.95;25;-104.9;678.95;25.09;15433;463;926
39083;7952;640301;17.81;6.15;-3.4;75;4.8;6.25;75;44800;75;774.9;783.6;25;-103.6;776.85;27.28;7506;149;688
21994;979;400636;19.04;5;-2.65;25;5;5.05;250;44900;250;872.2;882.2;25;-103.45;873.05;28.94;4530;308;451
136610;55041;1015069;20.35;4.25;-2.55;100;4.15;4.25;1450;45000;25;974.15;980.25;25;-88.45;980.9;33.22;7582;40;956
16714;3037;268597;21.49;3.5;-2.2;275;3.5;4.3;50;45100;250;1040.5;1091.35;250;-102.2;1073.7;33.94;396;33;63
20107;6503;250701;23.26;3.55;-1.5;1125;2.9;3.6;125;45200;300;1138.65;1200.9;300;-113.1;1170;35.29;166;17;41
17945;3524;237240;24.81;3.4;-1.2;25;2.9;3.5;175;45300;300;1240.6;1290.05;300;-136.45;1238.9;19.28;83;2;25
5307;-837;117900;26.43;3.35;-0.6;325;2.5;3.35;150;45400;250;1339.95;1397.6;250;-76.95;1393.15;45.87;132;4;15
65925;12983;554269;27.28;2.7;-0.95;50;2.6;2.7;650;45500;25;1471.55;1480.85;25;-93.5;1475.4;43.65;821;24;76
7209;48;83445;29.22;2.95;-0.45;800;1.65;2.95;600;45600;25;1571.1;1640.55;250;-453.05;1567.9;43.54;48;11;18
2184;-886;43411;29.93;2.35;-0.9;550;2.05;2.95;350;45700;2675;1594.65;1732.5;1925;-;-;-;-;-;-
965;965;48633;31.32;2.25;-326.55;425;1.75;3;250;45800;750;1708.15;1829.45;300;-;-;-;-;-;-
361;361;21566;32.58;2.1;-311;75;2.15;2.25;50;45900;750;1792.7;1945;300;-;-;-;-;-;-
54546;-1976;425599;33.69;1.9;-1.15;500;2;2.1;175;46000;250;1960.05;1992.95;1450;-2421.1;1947.2;41.65;22;11;11
25565;-6299;166752;40.11;1.55;-0.85;4900;1.55;1.6;1975;46500;225;2432.8;2493.7;225;-153;2440;40.88;1;-1;4
34705;4402;178416;47.28;1.6;-0.5;2475;1.55;1.6;5725;47000;750;2887.05;3052.95;1200;-;3393.2;-;-;-;22
8836;-2553;53922;53.57;1.45;-0.55;2700;1.35;1.45;4275;47500;800;3388.05;3482.95;125;-427.25;3506.25;96.11;146;10;44
16136;-1718;101944;59.31;1.25;-0.7;7600;1.25;1.3;19650;48000;750;3883.65;4053.55;300;-;4402.65;-;-;-;18
31498;-7889;57664;65.47;1.2;-0.7;4750;1.2;1.25;600;48500;750;4384.05;4520.85;300;-116.75;4523.35;121.96;5;3;102
7255;7255;31625;73.04;1.45;-49;2700;1.2;1.45;1125;49000;300;4948.9;5056.55;750;-;-;-;-;-;-
